industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
35200,1,5,0,3000000000
35300,1,5,0,3000000000
36010,1,5,0,3000000000
36020,1,5,0,3000000000
37011,1,5,0,3000000000
37012,1,5,0,3000000000
37021,1,5,0,3000000000
37022,1,5,0,3000000000
38110,1,5,0,3000000000
38120,1,5,0,3000000000
38130,1,5,0,3000000000
38210,1,5,0,3000000000
38220,1,5,0,3000000000
38230,1,5,0,3000000000
38240,1,5,0,3000000000
38311,1,5,0,3000000000
38312,1,5,0,3000000000
38321,1,5,0,3000000000
38322,1,5,0,3000000000
39001,1,5,0,3000000000
39009,1,5,0,3000000000
41111,1,10,0,8000000000
41112,1,10,0,8000000000
41119,1,10,0,8000000000
41121,1,10,0,8000000000
41122,1,10,0,8000000000
41129,1,10,0,8000000000
41210,1,10,0,8000000000
41221,1,10,0,8000000000
41222,1,10,0,8000000000
41223,1,10,0,8000000000
41224,1,10,0,8000000000
41225,1,10,0,8000000000
41226,1,10,0,8000000000
41229,1,10,0,8000000000
42110,1,10,0,8000000000
42121,1,10,0,8000000000
42122,1,10,0,8000000000
42123,1,10,0,8000000000
42129,1,10,0,8000000000
42131,1,10,0,8000000000
42132,1,10,0,8000000000
42191,1,10,0,8000000000
42192,1,10,0,8000000000
42193,1,10,0,8000000000
42194,1,10,0,8000000000
42195,1,10,0,8000000000
42196,1,10,0,8000000000
42199,1,10,0,8000000000
42201,1,10,0,8000000000
42202,1,10,0,8000000000
42203,1,10,0,8000000000
42204,1,10,0,8000000000
42205,1,10,0,8000000000
42209,1,10,0,8000000000
42311,1,10,0,8000000000
42312,1,10,0,8000000000
42321,1,10,0,8000000000
42322,1,10,0,8000000000
42411,1,10,0,8000000000
42412,1,10,0,8000000000
42420,1,10,0,8000000000
42491,1,10,0,8000000000
42492,1,10,0,8000000000
42499,1,10,0,8000000000
42500,1,10,0,8000000000
42600,1,10,0,8000000000
45110,1,5,0,5000000000
45120,1,5,0,5000000000
45211,1,5,0,5000000000
45212,1,5,0,5000000000
45213,1,5,0,5000000000
45219,1,5,0,5000000000
45220,1,5,0,5000000000
45301,1,5,0,5000000000
45302,1,5,0,5000000000
46101,1,5,0,5000000000
46102,0,5,0,5000000000
46103,1,5,0,5000000000
46104,1,5,0,5000000000
46105,1,5,0,5000000000
46106,1,5,0,5000000000
46107,1,5,0,5000000000
46109,1,5,0,5000000000
46201,1,5,0,5000000000
46202,1,5,0,5000000000
46203,1,5,0,5000000000
46204,1,5,0,5000000000
46205,1,5,0,5000000000
46209,0,5,0,5000000000
46311,1,5,0,5000000000
46312,1,5,0,5000000000
46313,1,5,0,5000000000
46314,1,5,0,5000000000
46315,1,5,0,5000000000
46319,1,5,0,5000000000
46321,1,5,0,5000000000
46322,1,5,0,5000000000
46323,1,5,0,5000000000
46324,1,5,0,5000000000
